index,timestamp,delta_S,pass
199,06:11:28.050,235.03,True
200,06:15:24.010,235.96,True
201,06:19:20.020,236.01,True
202,06:23:14.000,233.98,True
203,06:27:10.020,236.02,True
204,06:31:05.040,235.02,True
205,06:35:00.020,234.98,True
206,06:38:55.040,235.02,True
207,06:42:50.010,234.97,True
208,06:46:45.040,235.03,True
209,06:50:40.010,234.97,True
210,06:54:36.030,236.02,True
211,06:58:31.000,234.97,True
212,07:02:28.000,237.0,True
213,07:06:24.020,236.02,True
214,07:10:19.040,235.02,True
215,07:14:14.010,234.97,True
216,07:18:09.040,235.03,True
217,07:22:04.010,234.97,True
218,07:25:59.040,235.03,True
219,07:29:54.010,234.97,True
220,07:33:49.030,235.02,True
221,07:37:45.050,236.02,True
222,07:41:40.020,234.97,True
223,07:45:36.030,236.01,True
224,07:49:31.010,234.98,True
225,07:53:27.020,236.01,True
226,07:57:21.000,233.98,True
227,08:01:16.030,235.03,True
228,08:05:11.000,234.97,True
229,08:09:06.030,235.03,True
230,08:13:02.040,236.01,True
231,08:16:57.010,234.97,True
232,08:21:02.040,245.03,True
233,08:25:07.000,244.96,True
234,08:29:02.030,235.03,True
235,08:32:58.040,236.01,True
236,08:37:03.010,244.97,True
237,08:40:58.040,235.03,True
238,08:44:53.010,234.97,True
239,08:48:49.020,236.01,True
240,08:52:44.000,234.98,True
241,08:56:39.020,235.02,True
242,09:00:34.050,235.03,True
243,09:04:29.020,234.97,True
